dropoff_location_id,dropoff_latitude,dropoff_longitude
1,40.74612808,-74.00426483
2,40.73316574,-74.0059433
3,40.67576981,-73.97454071
4,40.75776672,-73.96965027
5,40.6950531,-74.1771698
6,40.7557869,-73.97807312
7,0,0
8,40.71234512,-73.82920837
9,40.76290131,-73.96789551
10,40.79787827,-73.9463501
11,40.75822449,-73.99239349
12,40.7961998,-73.94377136
13,40.79523849,-73.97154999
14,40.77078247,-73.98744965
15,40.81124115,-73.95211792
16,40.70936584,-74.01704407
17,40.75605011,-73.99010468
18,40.75503922,-73.96874237
19,40.75851822,-73.98628998
20,40.72851944,-73.97581482
21,40.745327,-74.00245667
22,40.69843292,-73.92384338
23,40.76818085,-73.95902252
24,40.76319122,-73.98538971
25,40.71472931,-73.94271088
26,40.7098732,-73.94773865
27,40.73888397,-73.88148499
28,40.80764389,-73.95295715
29,40.72694016,-74.00099182
30,40.7256012,-73.98801422
31,40.61862183,-74.03071594
32,40.71889877,-73.9564209
33,40.74494934,-73.97611237
34,40.77451706,-73.94799042
35,40.76950073,-73.96084595
36,40.74866867,-73.98706055
37,40.7482605,-73.98895264
38,40.75423813,-73.96585846
39,40.81702042,-73.93851471
40,40.75777817,-73.98950958
41,40.74949646,-73.99203491
42,40.82696915,-73.9024353
43,40.69771957,-73.93612671
44,40.69564819,-73.94670868
45,40.71282196,-73.98873901
46,40.79317474,-73.97492218
47,40.80535126,-73.96208954
48,40.75498962,-73.99459076
49,40.76400757,-73.98197174
50,40.76110458,-73.96949768
51,40.73071671,-73.98910522
52,40.77806473,-73.98570251
53,40.64998245,-73.96126556
54,40.73448181,-73.9895401
55,40.75173187,-73.93955231
56,40.78313828,-73.97846985
57,40.75347137,-73.99256897
58,40.74710846,-73.9770813
59,40.71347809,-74.01125336
60,40.7345314,-74.00470734
61,40.72602844,-73.97782135
62,40.7768631,-73.94645691
63,40.73581696,-73.85942841
64,40.72983551,-73.98706055
65,40.79333115,-73.97074127
66,40.75933075,-73.98858643
67,40.68948746,-73.96796417
68,40.81033325,-73.95128632
69,40.73427582,-73.97843933
70,40.74325562,-73.85777283
71,40.74206924,-73.98126221
72,40.68077087,-73.94968414
73,40.76203918,-73.97182465
74,40.74215317,-73.95454407
75,40.79024124,-73.9394989
76,40.75235367,-73.97032928
77,40.71963882,-73.9910965
78,40.72154999,-74.00138855
79,40.76841354,-73.98139191
80,40.71591187,-74.00366211
81,40.8056488,-73.92554474
82,40.71855164,-74.00089264
83,40.73345184,-74.00237274
84,40.67429352,-73.9573288
85,40.70624542,-74.00580597
86,40.73477936,-73.98471069
87,40.73123932,-73.98262024
88,40.77202988,-73.95974731
89,40.77154922,-73.95327759
90,40.75009155,-73.99150848
91,40.72703171,-73.98646545
92,40.79051208,-73.93946838
93,40.74585342,-73.99153137
94,40.77882385,-73.97775269
95,40.7563591,-73.98736572
96,40.60926056,-74.65130615
97,40.71889114,-73.99603271
98,40.70756149,-74.00724792
99,40.70896149,-74.00531769
100,40.73230362,-73.98908997
101,40.7281723,-73.98314667
102,40.75673676,-73.98958588
103,40.78435898,-73.97737122
104,40.73490524,-73.99717712
105,40.84296036,-73.94049835
106,40.80189896,-73.96305847
107,40.76893234,-73.98882294
108,40.65417862,-73.96178436
109,40.79091644,-73.94728851
110,40.71928024,-73.99694824
111,40.77033234,-73.967659
112,40.69405746,-73.97296906
113,40.80948257,-73.95303345
114,40.73814392,-74.00899506
115,40.7199707,-74.00258636
116,40.71672058,-74.01359558
117,0,0
118,40.74867249,-73.94239044
119,40.75306702,-73.98130798
120,40.73762512,-73.98394775
121,40.75478363,-73.96868896
122,40.79297638,-73.96783447
123,40.84827042,-73.9393692
124,40.76599884,-73.98504639
125,40.73129272,-74.0013504
126,40.68935776,-73.97851563
127,40.72565842,-73.89971924
128,40.74768829,-73.99633789
129,40.75631714,-73.97261047
130,40.65682983,-73.79316711
131,40.78361893,-73.97730255
132,40.71455765,-73.97976685
133,40.76502609,-73.98795319
134,40.75630951,-73.98918915
135,40.76688385,-73.98316193
136,40.81586838,-73.96041107
137,40.76454163,-73.98337555
138,40.76095963,-73.99897003
139,40.74953079,-73.95220947
140,40.75021362,-73.98527527
141,40.71376419,-73.97911835
142,40.83939362,-73.93750763
143,40.7746048,-73.95589447
144,40.71068954,-73.95819092
145,40.7472496,-73.98757172
146,40.83351898,-73.860466
147,40.71660233,-73.99319458
148,40.77064514,-73.98216248
149,40.78030777,-73.98522949
150,40.74972916,-73.97218323
151,40.72655106,-73.99188232
152,40.76401138,-73.96259308
153,40.73810959,-74.00469208
154,40.69880676,-73.93786621
155,40.76885223,-73.98141479
156,40.71852112,-73.99497223
157,40.74037552,-73.92498016
158,40.76784134,-73.966362
159,40.84886932,-73.90825653
160,40.76366043,-73.92630005
161,40.78046036,-73.94675446
162,40.77767944,-73.95474243
163,40.72248077,-73.98078156
164,40.72363281,-73.97920227
165,40.74861145,-73.98725128
166,40.73122025,-74.00267029
167,40.73361969,-74.00626373
168,40.73546219,-73.9770813
169,40.76604843,-73.92626953
170,40.71583557,-74.00678253
171,40.72319794,-73.99532318
172,40.80103302,-73.96489716
173,40.77481842,-73.95058441
174,40.76029968,-73.98542786
175,40.75091934,-74.0039978
176,40.76005936,-73.97775269
177,40.76250076,-73.98274231
178,40.67298126,-73.789711
179,40.75705338,-73.98077393
180,40.77407074,-73.98098755
181,40.75341797,-73.97503662
182,40.77129364,-73.95966339
183,40.75934219,-73.98086548
184,40.70589066,-74.00598907
185,40.75039673,-73.97173309
186,40.77360153,-73.94895935
187,40.79201126,-73.97392273
188,40.75529099,-73.97542572
189,40.70647049,-74.0045166
190,40.71401215,-73.99876404
191,40.72108841,-74.01006317
192,40.71470261,-74.01486206
193,40.73810959,-74.00865173
194,40.73564148,-73.99494171
195,40.76021957,-73.98004913
196,40.75156021,-73.98446655
197,40.71514893,-74.01339722
198,40.75695038,-73.97422028
199,40.7643013,-73.99201965
200,40.74266815,-73.98660278
201,40.75509644,-73.97692871
202,40.75979996,-73.97528839
203,40.80487061,-73.93907166
204,40.7698555,-73.98790741
205,40.74266815,-74.00733948
206,40.77732849,-73.96030426
207,40.74889755,-73.98838043
208,40.75059128,-73.98768616
209,40.75366974,-73.97563171
210,40.76150513,-73.9727478
211,40.77906036,-73.95391083
212,40.80657196,-73.95075226
213,40.7531395,-73.97264862
214,40.78402328,-73.95861053
215,40.73709488,-74.00135803
216,40.72713089,-74.03489685
217,40.75946045,-73.97039032
218,40.70314026,-74.01120758
219,40.75008774,-73.99181366
220,40.72583008,-73.99636078
221,40.76071548,-73.97476959
222,40.77413559,-73.96357727
223,40.74437332,-73.98577118
224,40.7497406,-73.99128723
225,40.77057648,-73.86509705
226,40.79354858,-73.94902802
227,40.75888443,-73.97476196
228,40.741642,-73.97503662
229,40.76824951,-73.9614563
230,40.73841095,-73.98972321
231,40.76023865,-73.9866333
232,40.72896576,-73.98865509
233,40.71445084,-74.01463318
234,40.7555809,-73.98336792
235,40.75815964,-73.97753906
236,40.82363892,-73.94786835
237,40.75435257,-73.98072052
238,40.75572968,-73.99084473
239,40.77024078,-73.86468506
240,40.75189972,-73.98193359
241,40.76611328,-73.96970367
242,40.7590332,-73.97102356
243,40.66724777,-73.95116425
244,40.75387955,-73.97756958
245,40.75510025,-73.97580719
246,40.76795959,-73.96389008
247,40.76036835,-73.9776535
248,40.71463394,-74.00715637
249,40.75097656,-73.97745514
250,40.71416855,-74.01410675
251,40.64369583,-73.78357697
252,40.7487793,-73.99152374
253,40.78340912,-73.95697784
254,40.72327042,-73.99835968
255,40.73360825,-73.98403931
256,40.76242065,-73.97226715
257,40.72071075,-74.0092926
258,40.64569855,-73.77632904
259,40.77030945,-73.98728943
260,40.75714111,-73.9778595
261,40.78163147,-73.94597626
262,40.76931,-73.95932007
263,40.75033569,-73.99464417
264,40.73638535,-73.97711182
265,40.76454163,-73.97003174
266,40.80406952,-73.9630127
267,40.76597977,-73.95558929
268,40.75583267,-73.97476959
269,40.75256729,-73.97483063
270,40.71794128,-74.00079346
271,40.80176163,-73.95349121
272,40.7548027,-73.97569275
273,40.76588058,-73.95521545
274,40.70354843,-74.01109314
275,40.7141304,-74.01410675
276,40.76155853,-73.98158264
277,40.76179123,-73.96839905
278,40.80916595,-73.96320343
279,40.74988937,-73.99150848
280,40.7906723,-73.95167542
281,40.78376007,-73.97956085
282,40.76015091,-73.9759903
283,40.77977753,-73.95603943
284,40.76200867,-73.96350861
285,40.7604599,-73.97471619
286,40.75841141,-73.97142792
287,40.75629044,-73.98739624
288,40.7600708,-73.97395325
289,40.75497818,-73.97234344
290,40.74655151,-73.97251129
291,40.76294708,-73.98757935
292,40.75047684,-73.9913559
293,40.75118637,-73.97830963
294,40.77770615,-73.95541382
295,40.77407074,-73.94827271
296,40.78710175,-73.95005798
297,40.78230286,-73.95263672
298,40.76197052,-73.97774506
299,40.70796967,-74.00363159
300,40.7208519,-74.00997162
301,40.76306915,-73.97788239
302,40.66716385,-73.93128204
303,40.75738907,-73.97013092
304,40.77445221,-73.87258148
305,40.76557541,-73.95497131
306,40.76395035,-73.95358276
307,40.66806793,-73.78329468
308,40.76247025,-73.9821167
309,40.80511093,-73.96230316
310,40.75592804,-73.98049164
311,40.71549988,-74.01358795
312,40.76548004,-73.98349762
313,40.76063156,-73.97898102
314,40.75498962,-74.00019836
315,40.77762985,-73.95477295
316,40.80532837,-73.9617157
317,40.76184082,-73.98040771
318,40.78473663,-73.95602417
319,40.8889122,-73.89302063
320,40.75901031,-73.97902679
321,40.73888016,-73.97741699
322,40.76438141,-73.96891785
323,40.74989319,-73.99382782
324,40.73990631,-73.98601532
325,40.76535797,-73.96808624
326,40.74645615,-73.97268677
327,40.76945877,-73.96067047
328,40.76399231,-73.95584869
329,40.64432144,-73.78208923
330,40.70781326,-74.00442505
331,40.77848053,-73.97799683
332,40.77202988,-73.96115875
333,40.80394363,-73.95432281
334,40.72079086,-74.00944519
